Customer_ID,Gender,SeniorCitizen,Tenure_Months,Plan_Type,Monthly_Charges,Contract,Payment_Method,InternetService,Support_Tickets,Is_Churned
C0033,Female,0,1,Postpaid,1282,1-year,Debit Card,Fiber,1,1
C0034,Female,0,42,Prepaid,526,Month-to-month,Debit Card,Fiber,4,1
C0035,Female,0,9,Prepaid,373,Month-to-month,Debit Card,Fiber,7,1
C0036,Male,0,3,Postpaid,881,1-year,Cash,Fiber,3,1
C0037,Female,0,60,Prepaid,527,Month-to-month,Credit Card,Fiber,5,1
C0038,Male,0,51,Postpaid,1041,2-year,UPI,DSL,6,1
C0039,Male,0,26,Postpaid,721,2-year,UPI,Fiber,5,0
C0040,Male,0,9,Postpaid,773,1-year,UPI,DSL,6,0
C0041,Male,0,42,Postpaid,865,2-year,UPI,Fiber,2,0
C0042,Male,0,51,Prepaid,465,Month-to-month,Debit Card,DSL,4,1
C0043,Female,0,16,Prepaid,550,Month-to-month,UPI,DSL,5,1
C0044,Female,0,24,Postpaid,1132,2-year,Cash,DSL,6,1
C0045,Female,0,50,Postpaid,1033,2-year,Debit Card,DSL,3,1
C0046,Female,0,14,Postpaid,1239,2-year,UPI,Fiber,5,1
C0047,Female,0,3,Postpaid,734,1-year,Credit Card,Fiber,2,1
C0048,Male,0,34,Postpaid,1143,2-year,Credit Card,Fiber,3,1
C0049,Female,0,33,Postpaid,930,1-year,Credit Card,Fiber,0,0
C0050,Female,0,50,Prepaid,408,Month-to-month,Credit Card,Fiber,0,0
C0051,Male,0,24,Prepaid,534,Month-to-month,UPI,Fiber,5,1
C0052,Female,0,9,Postpaid,1129,1-year,Debit Card,Fiber,1,1
C0053,Male,0,13,Prepaid,322,Month-to-month,Credit Card,Fiber,1,0
C0054,Female,1,2,Prepaid,368,Month-to-month,Debit Card,Fiber,1,1
C0055,Male,0,7,Prepaid,590,Month-to-month,Debit Card,DSL,1,0
C0056,Female,1,48,Postpaid,1148,1-year,UPI,None,6,1
C0057,Female,0,21,Postpaid,981,1-year,UPI,Fiber,7,0
C0058,Male,0,19,Postpaid,756,2-year,Debit Card,Fiber,5,0
C0059,Male,0,25,Prepaid,325,Month-to-month,Cash,Fiber,3,1
C0060,Male,0,47,Postpaid,1162,2-year,Credit Card,DSL,2,1
C0061,Male,0,22,Postpaid,741,1-year,UPI,Fiber,2,1
C0062,Male,0,11,Prepaid,490,Month-to-month,UPI,None,6,1
C0063,Male,0,33,Prepaid,403,Month-to-month,UPI,Fiber,1,0
C0064,Male,0,32,Prepaid,302,Month-to-month,UPI,Fiber,0,0
C0065,Male,0,21,Prepaid,391,Month-to-month,Credit Card,None,4,1
C0066,Female,0,39,Postpaid,1201,1-year,Debit Card,DSL,1,1
C0067,Female,0,20,Prepaid,280,Month-to-month,UPI,DSL,1,0
C0068,Male,0,8,Postpaid,864,2-year,UPI,Fiber,5,0
C0069,Female,0,42,Prepaid,541,Month-to-month,Credit Card,DSL,6,1
C0070,Female,1,37,Prepaid,515,Month-to-month,Debit Card,Fiber,0,0
C0071,Female,0,9,Prepaid,531,Month-to-month,Credit Card,Fiber,4,1
C0072,Female,1,25,Prepaid,525,Month-to-month,Cash,Fiber,3,0
C0073,Male,0,25,Prepaid,293,Month-to-month,Credit Card,Fiber,3,0
C0074,Female,0,33,Prepaid,311,Month-to-month,UPI,DSL,4,1
C0075,Male,0,2,Prepaid,450,Month-to-month,UPI,Fiber,4,1
C0076,Female,0,19,Prepaid,584,Month-to-month,Debit Card,DSL,6,1
C0077,Female,1,46,Postpaid,924,1-year,Credit Card,Fiber,3,0
C0078,Female,0,20,Prepaid,320,Month-to-month,Credit Card,Fiber,1,0
C0079,Male,0,42,Prepaid,339,Month-to-month,Debit Card,DSL,6,1
C0080,Female,0,41,Postpaid,883,1-year,Debit Card,DSL,7,0
C0081,Male,0,42,Prepaid,389,Month-to-month,UPI,None,1,0
C0082,Female,1,29,Postpaid,1227,2-year,Debit Card,DSL,5,1
C0083,Male,0,6,Postpaid,999,2-year,Credit Card,Fiber,0,0
C0084,Female,0,17,Prepaid,327,Month-to-month,Credit Card,None,4,1
C0085,Male,0,60,Postpaid,1154,1-year,Credit Card,DSL,1,1
C0086,Male,0,25,Postpaid,1229,2-year,Credit Card,Fiber,1,1
C0087,Female,0,38,Postpaid,943,1-year,UPI,Fiber,0,0
C0088,Male,0,4,Postpaid,1262,2-year,Credit Card,Fiber,4,1
C0089,Female,0,30,Prepaid,292,Month-to-month,UPI,Fiber,0,0
C0090,Female,0,20,Postpaid,945,1-year,Credit Card,None,0,0
C0091,Female,0,3,Prepaid,525,Month-to-month,UPI,Fiber,3,1
C0092,Female,0,23,Prepaid,481,Month-to-month,UPI,DSL,0,0
C0093,Female,0,51,Prepaid,461,Month-to-month,UPI,Fiber,6,1
C0094,Female,0,18,Prepaid,257,Month-to-month,Credit Card,Fiber,6,1
C0095,Female,0,26,Prepaid,371,Month-to-month,Debit Card,DSL,6,1
C0096,Female,0,56,Postpaid,737,2-year,UPI,Fiber,4,0
C0097,Female,0,36,Postpaid,731,2-year,Credit Card,Fiber,1,0
C0098,Female,0,8,Prepaid,482,Month-to-month,UPI,None,1,0
C0099,Female,0,17,Postpaid,1252,1-year,Debit Card,DSL,3,1
C0100,Male,0,31,Postpaid,991,1-year,UPI,Fiber,4,0
C0101,Male,0,37,Prepaid,318,Month-to-month,UPI,Fiber,6,1
C0102,Female,0,45,Prepaid,302,Month-to-month,UPI,Fiber,1,0
C0103,Female,0,57,Postpaid,1298,1-year,Cash,DSL,0,1
C0104,Female,0,33,Postpaid,1277,1-year,Credit Card,DSL,6,1
C0105,Female,0,27,Postpaid,837,1-year,UPI,Fiber,6,0
C0106,Female,0,45,Postpaid,899,1-year,UPI,DSL,2,0
C0107,Female,0,4,Prepaid,519,Month-to-month,UPI,Fiber,6,1
C0108,Female,0,22,Prepaid,416,Month-to-month,UPI,Fiber,2,0
C0109,Female,0,26,Prepaid,312,Month-to-month,Debit Card,Fiber,7,1
C0110,Male,0,32,Prepaid,510,Month-to-month,Credit Card,Fiber,6,1
C0111,Female,0,24,Postpaid,1231,1-year,Credit Card,Fiber,7,1
C0112,Male,0,46,Postpaid,1098,2-year,UPI,DSL,6,1
C0113,Female,0,35,Prepaid,489,Month-to-month,Credit Card,Fiber,6,1
C0114,Female,0,37,Postpaid,1261,1-year,UPI,DSL,2,1
C0115,Male,0,32,Prepaid,429,Month-to-month,UPI,DSL,2,1
C0116,Female,0,7,Postpaid,1290,2-year,Debit Card,DSL,7,1
C0117,Male,0,33,Postpaid,1248,2-year,UPI,Fiber,0,1
C0118,Female,0,31,Postpaid,758,2-year,Credit Card,Fiber,1,0
C0119,Female,0,55,Postpaid,787,2-year,Debit Card,DSL,7,0
C0120,Male,0,12,Prepaid,474,Month-to-month,UPI,Fiber,3,0
C0121,Female,0,11,Postpaid,803,2-year,Debit Card,DSL,7,0
C0122,Male,1,24,Postpaid,803,1-year,UPI,Fiber,0,0
C0123,Female,0,8,Prepaid,423,Month-to-month,UPI,Fiber,1,0
C0124,Male,1,32,Postpaid,1034,1-year,Credit Card,DSL,4,1
C0125,Male,0,57,Postpaid,1162,2-year,Credit Card,DSL,1,1
C0126,Female,1,38,Prepaid,564,Month-to-month,UPI,Fiber,1,0
C0127,Female,0,60,Prepaid,531,Month-to-month,Debit Card,Fiber,1,0
C0128,Male,0,22,Postpaid,1254,1-year,Cash,DSL,0,1
C0129,Female,0,34,Postpaid,1040,2-year,UPI,Fiber,1,1
C0130,Female,0,19,Prepaid,254,Month-to-month,Debit Card,Fiber,6,1
C0131,Female,0,52,Prepaid,311,Month-to-month,Credit Card,Fiber,7,1
C0132,Male,0,20,Prepaid,333,Month-to-month,Cash,Fiber,1,0
C0133,Male,0,56,Postpaid,1059,1-year,UPI,Fiber,7,1
C0134,Male,0,14,Postpaid,786,1-year,Debit Card,Fiber,4,0
C0135,Male,0,33,Prepaid,312,Month-to-month,UPI,DSL,4,1
C0136,Male,0,10,Prepaid,530,Month-to-month,Debit Card,DSL,2,0
C0137,Male,1,16,Prepaid,293,Month-to-month,Debit Card,None,5,1
C0138,Male,0,4,Postpaid,1046,2-year,Credit Card,Fiber,7,1
C0139,Male,1,27,Prepaid,519,Month-to-month,UPI,Fiber,7,1
C0140,Male,0,28,Prepaid,591,Month-to-month,Debit Card,None,7,1
C0141,Female,0,43,Prepaid,420,Month-to-month,Credit Card,Fiber,0,0
C0142,Male,0,16,Postpaid,947,1-year,Credit Card,DSL,1,0
C0143,Female,0,59,Prepaid,524,Month-to-month,Credit Card,Fiber,2,1
C0144,Female,0,52,Prepaid,269,Month-to-month,Debit Card,DSL,2,0
C0145,Female,0,33,Postpaid,1101,1-year,UPI,DSL,0,1
C0146,Male,0,48,Prepaid,328,Month-to-month,UPI,Fiber,5,1
C0147,Male,1,19,Prepaid,388,Month-to-month,Cash,Fiber,2,0
C0148,Male,0,21,Postpaid,946,1-year,Credit Card,Fiber,2,0
C0149,Male,0,22,Prepaid,401,Month-to-month,UPI,Fiber,0,0
C0150,Female,0,9,Prepaid,447,Month-to-month,UPI,Fiber,3,0
C0151,Male,0,9,Prepaid,522,Month-to-month,Debit Card,DSL,2,0
C0152,Male,0,9,Postpaid,868,2-year,UPI,Fiber,4,0
C0153,Male,0,27,Prepaid,299,Month-to-month,Credit Card,Fiber,6,1
C0154,Male,0,17,Postpaid,989,2-year,Debit Card,Fiber,2,0
C0155,Male,0,44,Prepaid,259,Month-to-month,UPI,Fiber,0,0
C0156,Female,0,57,Prepaid,398,Month-to-month,Debit Card,Fiber,0,0
C0157,Male,0,45,Postpaid,962,2-year,Credit Card,DSL,5,0
C0158,Female,1,8,Postpaid,722,1-year,Debit Card,DSL,6,0
C0159,Male,0,16,Prepaid,356,Month-to-month,Credit Card,Fiber,3,1
C0160,Female,0,18,Postpaid,941,1-year,Debit Card,Fiber,3,0
C0161,Male,0,59,Prepaid,435,Month-to-month,UPI,DSL,5,1
C0162,Male,1,33,Prepaid,295,Month-to-month,UPI,Fiber,5,1
C0163,Female,0,1,Prepaid,378,Month-to-month,Cash,Fiber,4,1
C0164,Female,0,12,Postpaid,875,1-year,UPI,DSL,7,0
C0165,Female,0,6,Prepaid,336,Month-to-month,Debit Card,Fiber,6,1
C0166,Male,0,41,Prepaid,498,Month-to-month,UPI,Fiber,4,1
C0167,Female,0,55,Prepaid,578,Month-to-month,Credit Card,None,2,0
C0168,Male,0,5,Prepaid,506,Month-to-month,Debit Card,Fiber,3,1
C0169,Male,0,59,Postpaid,1082,1-year,UPI,DSL,4,1
C0170,Female,0,16,Postpaid,1255,1-year,Debit Card,Fiber,2,1
C0171,Female,0,18,Postpaid,995,2-year,Credit Card,DSL,1,0
C0172,Male,0,49,Prepaid,314,Month-to-month,Credit Card,Fiber,2,0
C0173,Male,0,18,Prepaid,451,Month-to-month,Debit Card,Fiber,6,1
C0174,Female,0,1,Postpaid,940,2-year,UPI,DSL,4,1
C0175,Female,1,19,Postpaid,805,1-year,UPI,DSL,7,0
C0176,Female,0,54,Prepaid,493,Month-to-month,Debit Card,Fiber,6,1
C0177,Male,0,8,Postpaid,822,1-year,UPI,DSL,2,0
C0178,Male,0,3,Postpaid,734,1-year,UPI,Fiber,6,1
C0179,Male,0,58,Postpaid,1115,2-year,Debit Card,DSL,6,1
C0180,Male,0,25,Prepaid,423,Month-to-month,Debit Card,DSL,1,0
C0181,Male,0,58,Prepaid,574,Month-to-month,Credit Card,Fiber,7,1
C0182,Male,0,5,Prepaid,360,Month-to-month,Credit Card,Fiber,7,1
C0183,Female,0,55,Prepaid,424,Month-to-month,Debit Card,Fiber,4,1
C0184,Male,0,40,Prepaid,402,Month-to-month,Credit Card,DSL,2,0
C0185,Male,0,19,Prepaid,466,Month-to-month,Credit Card,Fiber,4,1
C0186,Male,0,18,Postpaid,1234,2-year,Cash,DSL,5,1
C0187,Female,0,50,Prepaid,489,Month-to-month,UPI,Fiber,5,1
C0188,Male,0,53,Prepaid,475,Month-to-month,Credit Card,DSL,2,0
C0189,Male,0,31,Postpaid,1235,2-year,Debit Card,DSL,0,1
C0190,Female,0,33,Postpaid,728,1-year,Debit Card,DSL,4,0
C0191,Male,0,47,Postpaid,816,2-year,Debit Card,DSL,7,0
C0192,Male,0,18,Prepaid,406,Month-to-month,UPI,Fiber,4,1
C0193,Male,0,57,Postpaid,988,1-year,UPI,Fiber,5,0
C0194,Male,0,39,Prepaid,393,Month-to-month,Debit Card,None,5,1
C0195,Male,1,16,Prepaid,360,Month-to-month,Credit Card,Fiber,6,1
C0196,Female,0,16,Postpaid,859,1-year,Debit Card,DSL,4,0
C0197,Female,0,47,Prepaid,381,Month-to-month,UPI,DSL,4,1
C0198,Female,0,38,Prepaid,362,Month-to-month,Debit Card,DSL,5,1
C0199,Male,0,41,Prepaid,573,Month-to-month,Credit Card,Fiber,2,0
C0200,Male,0,7,Prepaid,338,Month-to-month,UPI,Fiber,7,1
C0201,Male,0,14,Prepaid,410,Month-to-month,Credit Card,DSL,3,0
C0202,Female,1,43,Postpaid,1269,2-year,Debit Card,Fiber,6,1
C0203,Male,0,53,Prepaid,324,Month-to-month,UPI,DSL,2,0
C0204,Male,0,48,Postpaid,779,2-year,Credit Card,Fiber,7,0
C0205,Female,0,25,Prepaid,256,Month-to-month,Credit Card,Fiber,1,0
C0206,Male,0,32,Prepaid,362,Month-to-month,UPI,Fiber,0,0
C0207,Female,0,38,Prepaid,285,Month-to-month,Debit Card,DSL,7,1
C0208,Female,0,22,Prepaid,515,Month-to-month,UPI,Fiber,2,0
C0209,Female,0,59,Postpaid,864,1-year,UPI,Fiber,2,0
C0210,Male,0,16,Prepaid,541,Month-to-month,Credit Card,DSL,4,1
C0211,Male,0,52,Prepaid,472,Month-to-month,Debit Card,DSL,6,1
C0212,Male,0,29,Postpaid,1102,1-year,Cash,None,1,1
C0213,Male,0,16,Prepaid,267,Month-to-month,UPI,Fiber,6,1
C0214,Male,0,12,Postpaid,999,2-year,Credit Card,DSL,4,0
C0215,Male,0,17,Postpaid,754,2-year,UPI,Fiber,7,0
C0216,Male,0,37,Prepaid,469,Month-to-month,Debit Card,DSL,5,1
C0217,Female,0,27,Prepaid,351,Month-to-month,Credit Card,DSL,6,1
C0218,Male,1,25,Prepaid,389,Month-to-month,Debit Card,Fiber,4,1
C0219,Female,0,13,Postpaid,1105,2-year,UPI,Fiber,7,1
C0220,Male,0,8,Prepaid,440,Month-to-month,Debit Card,DSL,3,0
C0221,Male,1,56,Prepaid,274,Month-to-month,Credit Card,Fiber,0,0
C0222,Male,0,5,Prepaid,282,Month-to-month,Cash,DSL,7,1
C0223,Female,0,12,Prepaid,592,Month-to-month,UPI,Fiber,7,1
C0224,Female,0,41,Prepaid,578,Month-to-month,Credit Card,DSL,3,0
C0225,Female,0,3,Postpaid,1293,1-year,Debit Card,Fiber,7,1
C0226,Female,0,35,Prepaid,443,Month-to-month,Credit Card,Fiber,4,1
C0227,Male,0,33,Postpaid,952,1-year,UPI,Fiber,0,0
C0228,Female,0,57,Postpaid,1263,2-year,Cash,Fiber,2,1
C0229,Male,0,22,Prepaid,572,Month-to-month,UPI,Fiber,6,1
C0230,Male,0,50,Prepaid,465,Month-to-month,UPI,Fiber,1,0
C0231,Female,0,56,Prepaid,598,Month-to-month,Credit Card,Fiber,7,1
C0232,Female,0,44,Postpaid,1110,2-year,Credit Card,DSL,3,1
C0233,Female,0,9,Prepaid,417,Month-to-month,Debit Card,Fiber,1,0
C0234,Female,1,41,Postpaid,1191,1-year,Credit Card,DSL,4,1
C0235,Female,1,18,Postpaid,1137,1-year,Credit Card,Fiber,0,1
C0236,Female,0,50,Prepaid,412,Month-to-month,Credit Card,Fiber,5,1
C0237,Female,1,29,Postpaid,771,2-year,Credit Card,Fiber,6,0
C0238,Female,0,39,Prepaid,497,Month-to-month,Cash,DSL,6,1
C0239,Male,1,27,Postpaid,919,2-year,Debit Card,Fiber,7,0
C0240,Female,0,36,Prepaid,448,Month-to-month,Credit Card,Fiber,2,0
C0241,Female,0,45,Prepaid,449,Month-to-month,UPI,Fiber,0,0
C0242,Male,0,17,Prepaid,291,Month-to-month,Cash,Fiber,5,1
C0243,Female,0,56,Postpaid,1054,2-year,UPI,Fiber,1,1
C0244,Male,0,34,Prepaid,315,Month-to-month,UPI,Fiber,1,0
C0245,Male,0,46,Postpaid,765,2-year,UPI,Fiber,2,0
C0246,Female,0,3,Prepaid,547,Month-to-month,UPI,DSL,5,1
C0247,Male,0,5,Prepaid,287,Month-to-month,Debit Card,Fiber,5,1
C0248,Male,0,14,Prepaid,390,Month-to-month,Credit Card,Fiber,2,0
C0249,Male,0,3,Prepaid,355,Month-to-month,Cash,Fiber,0,1
C0250,Male,0,23,Prepaid,401,Month-to-month,UPI,Fiber,3,0
C0251,Female,0,39,Prepaid,575,Month-to-month,Credit Card,Fiber,0,0
C0252,Male,0,30,Postpaid,778,1-year,Cash,DSL,6,0
C0253,Female,0,50,Prepaid,346,Month-to-month,Debit Card,DSL,1,0
C0254,Male,0,45,Prepaid,357,Month-to-month,Debit Card,Fiber,7,1
C0255,Male,1,23,Prepaid,368,Month-to-month,UPI,Fiber,0,0
C0256,Male,0,27,Postpaid,825,1-year,Debit Card,Fiber,7,0
C0257,Male,0,54,Prepaid,323,Month-to-month,UPI,Fiber,4,1
C0258,Female,1,10,Prepaid,306,Month-to-month,Credit Card,DSL,0,0
C0259,Female,0,25,Prepaid,584,Month-to-month,Credit Card,DSL,6,1
C0260,Male,0,13,Postpaid,873,2-year,Credit Card,Fiber,0,0
C0261,Male,0,16,Postpaid,1151,1-year,Debit Card,None,5,1
C0262,Female,0,41,Prepaid,562,Month-to-month,Debit Card,Fiber,6,1
C0263,Male,0,34,Prepaid,504,Month-to-month,UPI,Fiber,7,1
C0264,Male,0,55,Postpaid,904,2-year,Credit Card,Fiber,6,0
C0265,Male,0,37,Postpaid,1062,2-year,Debit Card,Fiber,4,1
C0266,Female,1,22,Postpaid,1197,1-year,UPI,DSL,7,1
C0267,Female,0,17,Postpaid,1236,1-year,UPI,DSL,1,1
C0268,Female,0,23,Postpaid,933,2-year,UPI,DSL,2,0
C0269,Male,0,54,Postpaid,715,2-year,Credit Card,Fiber,0,1
C0270,Male,0,36,Prepaid,487,Month-to-month,Cash,DSL,3,1
C0271,Female,0,49,Prepaid,428,Month-to-month,UPI,DSL,5,1
C0272,Female,0,9,Prepaid,353,Month-to-month,Credit Card,Fiber,5,1
C0273,Female,0,52,Postpaid,999,2-year,Debit Card,Fiber,2,0
C0274,Female,0,2,Postpaid,1038,1-year,UPI,DSL,3,1
C0275,Male,0,32,Postpaid,1002,1-year,Cash,DSL,0,1
C0276,Female,0,56,Prepaid,553,Month-to-month,Credit Card,DSL,3,0
C0277,Male,0,50,Prepaid,599,Month-to-month,Debit Card,Fiber,5,1
C0278,Female,0,53,Prepaid,584,Month-to-month,UPI,Fiber,7,1
C0279,Male,0,59,Prepaid,366,Month-to-month,UPI,DSL,2,0
C0280,Female,0,22,Postpaid,774,1-year,UPI,DSL,3,1
C0281,Female,0,43,Postpaid,1065,2-year,UPI,Fiber,3,1
C0282,Female,0,13,Prepaid,387,Month-to-month,Debit Card,Fiber,2,0
C0283,Female,1,8,Prepaid,572,Month-to-month,UPI,DSL,7,1
C0284,Male,0,59,Postpaid,930,2-year,Credit Card,DSL,6,0
C0285,Female,1,1,Prepaid,324,Month-to-month,UPI,DSL,2,1
C0286,Male,0,17,Postpaid,1174,1-year,Debit Card,Fiber,2,1
C0287,Male,1,12,Prepaid,533,Month-to-month,Debit Card,DSL,5,1
C0288,Male,0,4,Prepaid,504,Month-to-month,Credit Card,Fiber,7,1
C0289,Male,1,53,Prepaid,258,Month-to-month,UPI,DSL,2,0
C0290,Female,1,13,Prepaid,452,Month-to-month,Credit Card,Fiber,4,1
C0291,Male,0,31,Prepaid,554,Month-to-month,UPI,DSL,0,1
C0292,Male,1,41,Prepaid,340,Month-to-month,UPI,DSL,5,1
C0293,Male,0,59,Prepaid,581,Month-to-month,Credit Card,DSL,6,1
C0294,Female,0,7,Prepaid,399,Month-to-month,Cash,Fiber,2,1
C0295,Female,0,23,Prepaid,425,Month-to-month,Debit Card,Fiber,1,0
C0296,Female,0,24,Prepaid,282,Month-to-month,Credit Card,DSL,3,0
C0297,Female,0,5,Prepaid,433,Month-to-month,Credit Card,Fiber,2,1
C0298,Male,0,5,Postpaid,1169,1-year,Cash,Fiber,2,1
C0299,Male,1,17,Postpaid,827,2-year,Credit Card,None,0,0
C0300,Female,0,30,Prepaid,545,Month-to-month,Credit Card,Fiber,2,0
C0301,Male,0,9,Prepaid,451,Month-to-month,Cash,DSL,5,1
C0302,Male,1,6,Prepaid,523,Month-to-month,UPI,Fiber,4,1
C0303,Male,1,25,Prepaid,424,Month-to-month,UPI,DSL,1,0
C0304,Female,1,19,Postpaid,1005,2-year,Credit Card,DSL,1,1
C0305,Female,0,16,Postpaid,890,2-year,UPI,DSL,6,0
C0306,Male,1,21,Postpaid,1056,2-year,Credit Card,None,7,1
C0307,Female,0,2,Prepaid,345,Month-to-month,Credit Card,Fiber,2,1
C0308,Female,0,10,Prepaid,422,Month-to-month,Credit Card,DSL,7,1
C0309,Female,0,16,Postpaid,767,2-year,Cash,DSL,0,0
C0310,Female,0,37,Prepaid,432,Month-to-month,UPI,Fiber,5,1
C0311,Female,0,15,Prepaid,572,Month-to-month,Credit Card,Fiber,5,1
C0312,Male,0,13,Postpaid,1086,1-year,UPI,None,2,1
C0313,Female,0,13,Postpaid,827,1-year,Credit Card,Fiber,3,0
C0314,Male,0,32,Postpaid,1184,1-year,Debit Card,Fiber,5,1
C0315,Male,0,45,Prepaid,423,Month-to-month,Credit Card,Fiber,5,1
C0316,Female,0,47,Prepaid,579,Month-to-month,UPI,Fiber,7,1
C0317,Male,0,46,Prepaid,480,Month-to-month,Credit Card,DSL,5,1
C0318,Male,0,8,Postpaid,928,1-year,Credit Card,Fiber,1,0
C0319,Male,0,43,Prepaid,410,Month-to-month,UPI,Fiber,5,1
C0320,Female,0,18,Postpaid,757,2-year,Credit Card,DSL,7,0
C0321,Female,1,56,Postpaid,980,1-year,Credit Card,Fiber,3,0
C0322,Male,0,36,Prepaid,531,Month-to-month,Cash,DSL,4,1
C0323,Female,0,26,Prepaid,377,Month-to-month,Debit Card,DSL,1,0
C0324,Female,0,10,Prepaid,415,Month-to-month,Debit Card,DSL,1,0
C0325,Female,0,31,Postpaid,1261,1-year,Debit Card,DSL,4,1
C0326,Female,0,33,Postpaid,1292,2-year,Debit Card,Fiber,7,1
C0327,Male,0,29,Postpaid,758,1-year,Cash,Fiber,3,0
C0328,Male,0,5,Prepaid,451,Month-to-month,UPI,Fiber,2,1
C0329,Female,0,13,Prepaid,270,Month-to-month,Credit Card,Fiber,7,1
C0330,Female,0,1,Postpaid,1111,1-year,Debit Card,Fiber,6,1
C0331,Male,0,23,Prepaid,407,Month-to-month,Credit Card,Fiber,0,0
C0332,Male,0,40,Postpaid,1116,2-year,UPI,Fiber,3,1
C0333,Female,0,3,Postpaid,815,2-year,UPI,Fiber,4,1
C0334,Male,0,3,Prepaid,588,Month-to-month,UPI,Fiber,6,1
C0335,Female,0,7,Prepaid,508,Month-to-month,UPI,Fiber,5,1
C0336,Female,1,36,Prepaid,304,Month-to-month,UPI,Fiber,5,1
C0337,Male,1,35,Prepaid,285,Month-to-month,Credit Card,DSL,4,1
C0338,Male,0,15,Postpaid,1146,2-year,Debit Card,DSL,5,1
C0339,Female,0,40,Postpaid,1196,1-year,Debit Card,DSL,4,1
C0340,Female,0,3,Postpaid,1042,2-year,Debit Card,DSL,6,1
C0341,Male,0,29,Postpaid,1126,1-year,Debit Card,DSL,1,1
C0342,Female,0,30,Prepaid,395,Month-to-month,Credit Card,DSL,2,0
C0343,Male,1,39,Prepaid,479,Month-to-month,UPI,Fiber,7,1
C0344,Female,1,18,Postpaid,1226,1-year,UPI,Fiber,1,1
C0345,Male,0,11,Prepaid,555,Month-to-month,Cash,DSL,1,0
C0346,Male,0,43,Postpaid,1165,1-year,UPI,Fiber,1,1
C0347,Male,0,49,Postpaid,995,2-year,Debit Card,Fiber,4,0
C0348,Female,0,60,Prepaid,365,Month-to-month,Credit Card,Fiber,7,1
C0349,Female,0,38,Prepaid,475,Month-to-month,Cash,Fiber,3,0
C0350,Male,0,40,Prepaid,308,Month-to-month,Credit Card,DSL,7,1
C0351,Female,0,1,Postpaid,1036,1-year,Debit Card,Fiber,6,1
C0352,Male,0,29,Prepaid,465,Month-to-month,UPI,Fiber,7,1
C0353,Male,0,10,Postpaid,902,2-year,UPI,Fiber,0,0
C0354,Female,1,28,Prepaid,553,Month-to-month,Credit Card,DSL,0,0
C0355,Female,0,57,Postpaid,1262,2-year,Cash,DSL,2,1
C0356,Male,0,31,Prepaid,554,Month-to-month,Credit Card,Fiber,2,0
C0357,Female,0,19,Prepaid,316,Month-to-month,Cash,DSL,7,1
C0358,Female,0,3,Postpaid,979,2-year,Debit Card,Fiber,7,1
